"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R48,R17,R37,R32,R53,R16,R44,R36,R21,R49,R52,R20,R33,R45,R40,R41";"R_0402_1005Metric";16;"3M3";;;
2;"D17,D7,D11,D13,D15,D19,D9,D21,D3";"LED_0402_1005Metric";9;"LED (R)";;;
3;"D4";"ESD_Diodes_PRTR5V0U2F-115";1;"PRTR5V0U2F,115";;;
4;"R30,R8,R38,R47,R51,R54,R18,R43,R19,R7,R55,R9,R31,R34,R35,R42,R39,R50,R46";"R_0402_1005Metric";19;"330";;;
5;"RGB1";"RGB_CLMVC-FKA-CLBDGL7LBB79353";1;"CLMVC-FKA-CLBDGL7LBB79353";;;
6;"FB2,FB1";"FB_BLM18HE152SN1D";2;"FB_BLM18HE152SN1D";;;
7;"Q6,Q11,Q8,Q16,Q15,Q9,Q7,Q3,Q5,Q12,Q10,Q1,Q2,Q13,Q14,Q4";"MOSFET_Nch_SOT-723_RUM001L02T2CL";16;"RUM001L02T2CL";;;
8;"IC2";"FPGA_ICE40UP5K-SG48I";1;"FPGA_ICE40UP5K-SG48I";;;
9;"R2,R12,R4,R15,R13,R11,R1";"R_0402_1005Metric";7;"10k";;;
10;"C38,C7,C11,C12,C28,C24,C10,C1,C26,C9,C37,C2,C17,C34,C16,C19,C6,C3,C4,C33,C31,C20,C27,C8";"C_0402_1005Metric";24;"100nF";;;
11;"D10,D20,D14,D12,D2,D8,D6,D18,D16";"LED_0402_1005Metric";9;"LED (B)";;;
12;"C32,C14,C15,C30,C39,C21,C36,C23";"C_0603_1608Metric";8;"10uF";;;
13;"Y1";"Osc_12MHz_ECS-2520MV-120-BN-TR";1;"Osc_12MHz_ECS-2520MV-120-BN-TR";;;
14;"G1";"Logo_NBB_5mm";1;"LOGO";;;
15;"IC3";"NOR_Flash_W25Q32JVSSIQ";1;"NOR_Flash_W25Q32JVSSIQ";;;
16;"R24,R28,R26,R22";"R_0402_1005Metric";4;"17k";;;
17;"J1";"MicroUSB_10103594-0001LF";1;"MicroUSB_10103594-0001LF";;;
18;"F1";"PTC_MF-FSMF035X-2";1;"MF-FSMF035X-2";;;
19;"IC1";"USBtoSerial_FT2232HQ";1;"FT2232HQ";;;
20;"C13,C5,C18,C25,C29,C22";"C_0603_1608Metric";6;"4.7uF";;;
21;"D5";"Diode_1N4148WS-7-F";1;"Diode_1N4148WS-7-F";;;
22;"G2";"Logo_VK_5mm";1;"Logo_VK";;;
23;"D1";"LED_0402_1005Metric";1;"LED (W)";;;
24;"R6";"R_0402_1005Metric";1;"1k";;;
25;"J3,J2";"PinHeader_1x20_P2.54mm_Vertical";2;"Conn_01x20_Pin";;;
26;"R29,R27,R23,R25";"R_0402_1005Metric";4;"33k";;;
27;"U1";"EEPROM_93LC56BT-I-OT";1;"EEPROM_93LC56BT-I-OT";;;
28;"IC4";"ADC_MCP3004-I-SL";1;"ADC_MCP3004-I-SL";;;
29;"IC5";"DAC_MCP4812-E-SN";1;"MCP4812-E_SN";;;
30;"R14";"R_0402_1005Metric";1;"100";;;
31;"R5";"R_0402_1005Metric";1;"12k (1%)";;;
32;"R3";"R_0402_1005Metric";1;"2.2k";;;
33;"VR1";"LDO_1v2_LD1117S12TR";1;"LD1117S12TR";;;
34;"VR2";"LDO_3v3_LM1117IMPX-3.3";1;"LDO_3v3_LM1117IMPX-3.3";;;
