Atoms,0,0.57,0.6,0,x,31.111,0.125,0.125,y,50.084,22.125,22.125
Electrons,0,1.14,1.2,0,x,44.056,14.375,14.375,y,52.834,22.125,22.125
Magnets,0,1.235,1.3,0,x,45.787,28.625,28.625,y,43.81,22.125,22.125
Light,0,0.57,0.6,0,x,57.432,42.875,42.875,y,49.147,22.125,22.125
Sensors,0,0.855,0.9,0,x,52.633,57.125,57.125,y,41.232,22.125,22.125
Motors,0,0.95,1.1,0,x,61.73,71.375,71.375,y,44.465,22.125,22.125
Transistors,0,0.285,0.3,0,x,69.113,85.625,85.625,y,52.489,22.125,22.125
Amplifiers,0,0.95,1,0,x,72.266,0.125,0.125,y,41.664,36.375,36.375
Circuits,0,1.14,1.2,0,x,68.657,14.375,14.375,y,34.046,36.375,36.375
Power,0,0.57,0.6,0,x,63.446,28.625,28.625,y,29.572,36.375,36.375
Data,0,0.665,0.7,0,x,58.531,42.875,42.875,y,25.627,36.375,36.375
Logic,0,1.14,1.2,0,x,49.949,57.125,57.125,y,23.757,36.375,36.375
Memory,0,0.665,0.7,0,x,55.655,71.375,71.375,y,36.185,36.375,36.375
FPGAs,0,0.95,1,0,x,45.271,85.625,85.625,y,32.576,36.375,36.375
Computers,0,0.665,0.7,0,x,40.46,0.125,0.125,y,22.821,50.625,50.625
Control,0,0.38,0.4,0,x,30.438,14.375,14.375,y,24.826,50.625,50.625
Robotics,0,0.665,0.7,0,x,35.347,28.625,28.625,y,34.227,50.625,50.625
Systems,0,1.425,1.5,0,x,29.536,42.875,42.875,y,38.456,50.625,50.625
Linux,0,0.95,1,0,x,22.519,57.125,57.125,y,27.498,50.625,50.625
Python,0,0.755,0.9,0,x,16.807,71.375,71.375,y,32.443,50.625,50.625
Networks,0,0.57,0.6,0,x,13.733,85.625,85.625,y,37.922,50.625,50.625
Websites,0,0.33,0.4,0,x,16.807,0.125,0.125,y,44.47,64.875,64.875
Servers,0,0.38,0.4,0,x,49.552,14.375,14.375,y,59.843,64.875,64.875
Security,0,0.855,0.9,0,x,65.787,28.625,28.625,y,57.432,64.875,64.875
Audio,0,1.28,1.4,0,x,56.365,42.875,42.875,y,62.345,64.875,64.875
Vision,0,0.57,0.6,0,x,61.08,57.125,57.125,y,68.178,64.875,64.875
Learning,0,0.285,0.3,0,x,23.05,71.375,71.375,y,47.314,64.875,64.875
Intelligence,0,1.705,1.9,0,x,32.787,85.625,85.625,y,43.81,64.875,64.875
