Atoms,0,0.57,0.6,1,fill,000000,FFFFFF,FFFFFF,stroke,FFFFFF,000000,000000
Electrons,0,1.14,1.2,1,fill,000000,FFFFFF,FFFFFF,stroke,FFFFFF,000000,000000
Magnets,0,1.235,1.3,1,fill,000000,FFFFFF,FFFFFF,stroke,FFFFFF,000000,000000
Light,0,0.57,0.6,1,fill,000000,FFFFFF,FFFFFF,stroke,FFFFFF,000000,000000
Sensors,0,0.855,0.9,1,fill,000000,FFFFFF,FFFFFF,stroke,FFFFFF,000000,000000
Motors,0,2.95,3.1,1,fill,000000,000000,FFFFFF,stroke,FFFFFF,FFFFFF,000000
Transistors,0,0.285,0.3,1,fill,000000,FFFFFF,FFFFFF,stroke,FFFFFF,000000,000000
Amplifiers,0,0.95,1,1,fill,000000,FFFFFF,FFFFFF,stroke,FFFFFF,000000,000000
Circuits,0,1.14,1.2,1,fill,000000,FFFFFF,FFFFFF,stroke,FFFFFF,000000,000000
Power,0,0.57,0.6,1,fill,000000,FFFFFF,FFFFFF,stroke,FFFFFF,000000,000000
Data,0,0.665,0.7,1,fill,000000,FFFFFF,FFFFFF,stroke,FFFFFF,000000,000000
Logic,0,1.14,1.2,1,fill,000000,FFFFFF,FFFFFF,stroke,FFFFFF,000000,000000
Memory,0,0.665,0.7,1,fill,000000,FFFFFF,FFFFFF,stroke,FFFFFF,000000,000000
FPGAs,0,0.95,1,1,fill,000000,000000,FFFFFF,stroke,FFFFFF,FFFFFF,000000
Computers,0,0.665,0.7,1,fill,000000,FFFFFF,FFFFFF,stroke,FFFFFF,000000,000000
Control,0,0.38,0.4,1,fill,000000,FFFFFF,FFFFFF,stroke,FFFFFF,000000,000000
Robotics,0,0.665,0.7,1,fill,000000,FFFFFF,FFFFFF,stroke,FFFFFF,000000,000000
Systems,0,1.425,1.5,1,fill,000000,FFFFFF,FFFFFF,stroke,FFFFFF,000000,000000
Linux,0,0.95,1,1,fill,000000,FFFFFF,FFFFFF,stroke,FFFFFF,000000,000000
Python,0,2.755,2.9,1,fill,000000,000000,FFFFFF,stroke,FFFFFF,FFFFFF,000000
Networks,0,0.57,0.6,1,fill,000000,FFFFFF,FFFFFF,stroke,FFFFFF,000000,000000
Websites,0,1.33,1.4,1,fill,000000,FFFFFF,FFFFFF,stroke,FFFFFF,000000,000000
Servers,0,0.38,0.4,1,fill,000000,FFFFFF,FFFFFF,stroke,FFFFFF,000000,000000
Security,0,0.855,0.9,1,fill,000000,FFFFFF,FFFFFF,stroke,FFFFFF,000000,000000
Audio,0,2.28,2.4,1,fill,000000,000000,FFFFFF,stroke,FFFFFF,FFFFFF,000000
Vision,0,0.57,0.6,1,fill,000000,FFFFFF,FFFFFF,stroke,FFFFFF,000000,000000
Learning,0,0.285,0.3,1,fill,000000,FFFFFF,FFFFFF,stroke,FFFFFF,000000,000000
Intelligence,0,3.705,3.9,1,fill,000000,000000,FFFFFF,stroke,FFFFFF,FFFFFF,000000
